protein_id
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
NP_001034794.1
NP_001258113.1
NP_001258112.1
XP_006724663.1
XP_011529113.1
XP_011529116.1
XP_016885256.1
XP_011529110.1
XP_011529115.1
XP_016885257.1
XP_011529111.1
XP_011529114.1
XP_024308201.1
